Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price
BGR,BlackRock Energy and Resources Trust,Financial,Closed-End Fund - Equity,USA,372.82M,4.49,12.69
MDR,"McDermott International, Inc.",Basic Materials,Oil & Gas Equipment & Services,USA,2.28B,4.51,7.32
CIEN,Ciena Corporation,Technology,Communication Equipment,USA,4.39B,4.55,31.52
STRM,"Streamline Health Solutions, Inc.",Technology,Healthcare Information Services,USA,17.48M,4.57,0.90
SHI,Sinopec Shanghai Petrochemical Company Limited,Basic Materials,Oil & Gas Refining & Marketing,China,7.46B,4.58,43.90
KRO,"Kronos Worldwide, Inc.",Basic Materials,Specialty Chemicals,USA,1.59B,4.59,14.16
UCTT,"Ultra Clean Holdings, Inc.",Technology,Semiconductor Equipment & Materials,USA,398.36M,4.59,10.60
HX,Hexindai Inc.,Financial,Credit Services,China,377.80M,4.61,7.80
MXE,Mexico Equity & Income Fund Inc.,Financial,Asset Management,Mexico,75.93M,4.62,10.39
ACLS,"Axcelis Technologies, Inc.",Technology,Semiconductor Equipment & Materials,USA,548.29M,4.64,17.40
ALEX,"Alexander & Baldwin, Inc.",Financial,Real Estate Development,USA,1.44B,4.65,19.69
JP,Jupai Holdings Limited,Financial,Asset Management,China,250.74M,4.67,7.81
BGI,Birks Group Inc.,Services,Jewelry Stores,Canada,22.20M,4.69,1.20
HABT,"The Habit Restaurants, Inc.",Services,Restaurants,USA,376.19M,4.71,12.73
BOE,BlackRock Enhanced Global Dividend Trust,Financial,Closed-End Fund - Foreign,USA,692.56M,4.73,10.18
MT,ArcelorMittal,Basic Materials,Steel & Iron,Luxembourg,25.79B,4.73,24.87
JTA,Nuveen Tax-Advantaged Total Return Strategy Fund,Financial,Closed-End Fund - Equity,USA,163.21M,4.75,11.78
RMT,"Royce Micro-Cap Trust, Inc.",Financial,Closed-End Fund - Equity,USA,329.94M,4.76,8.69
WTI,"W&T Offshore, Inc.",Basic Materials,Oil & Gas Drilling & Exploration,USA,929.21M,4.76,6.78
FUND,"Sprott Focus Trust, Inc. - Clos",Financial,Closed-End Fund - Equity,USA,173.84M,4.80,6.72
SDR,SandRidge Mississippian Trust II,Basic Materials,Independent Oil & Gas,USA,55.72M,4.81,1.15
PZN,"Pzena Investment Management, Inc",Financial,Asset Management,USA,697.40M,4.82,10.12
PFSI,"PennyMac Financial Services, Inc.",Financial,Mortgage Investment,USA,511.21M,4.86,20.00
EOS,Eaton Vance Enhanced Equity Income Fund II,Financial,Closed-End Fund - Equity,USA,734.92M,4.88,15.66
ADES,"Advanced Emissions Solutions, Inc.",Industrial Goods,Pollution & Treatment Controls,USA,196.70M,4.89,9.93
DIAX,Nuveen Dow 30 Dynamic Overwrite Fund,Financial,Closed-End Fund - Equity,USA,632.22M,4.91,17.83
DHX,"DHI Group, Inc.",Services,Staffing & Outsourcing Services,USA,86.97M,4.92,1.66
CII,"BlackRock Enhanced Capital and Income Fund, Inc.",Financial,Closed-End Fund - Equity,USA,676.82M,4.94,15.51
SWN,Southwestern Energy Company,Basic Materials,Independent Oil & Gas,USA,3.12B,4.94,5.39
