Ticker,Market Cap,Div,ROA,ROE,ROI,Curr R,Quick R,LTDebt/Eq,Debt/Eq,Gross M,Profit M,Earnings,Price,Change,Volume
GPM,374.85M,12.31%,-,-,-,-,-,-,-,-,-,-,-,7.93,1.67%
SUN,2.27B,12.29%,0.30%,1.40%,4.70%,1.10,0.70,2.84,2.85,8.90%,1.70%,0.10%,Nov 07/a,27.43,2.18%
SMTA,473.86M,12.28%,-,-,-0.20%,-,-,9.88,9.88,-,-,-,Nov 09/b,10.82,0.70%
LKSD,291.89M,12.25%,-3.20%,-25.50%,3.60%,1.30,1.00,3.08,4.14,15.00%,0.10%,-1.70%,Nov 01/b,9.40,10.72%
GECC,87.03M,12.24%,-,-,-,-,-,-,-,-,-,-,Nov 05/b,8.11,-0.73%
CYCCP,58.95M,12.21%,-,-,-,-,-,-,-,-,-,-,-,4.91,0.00%
MTEX,40.34M,12.20%,-3.90%,-7.80%,-4.20%,1.40,1.10,0.03,0.06,80.30%,0.30%,-1.70%,Nov 06/b,16.62,1.34%
CPTA,131.21M,12.20%,-,-,-,-,-,-,-,-,-,-,Nov 05/a,8.26,0.75%
DX,342.24M,12.16%,2.50%,20.10%,1.10%,-,-,0.01,6.29,53.50%,93.80%,82.00%,Oct 31/b,5.82,-1.69%
VGR,1.89B,12.15%,6.30%,-18.80%,21.00%,1.40,1.20,-,-,30.90%,11.80%,4.60%,Nov 06/b,13.53,2.71%
CPLP,374.33M,12.12%,1.00%,1.60%,4.70%,0.50,0.40,0.46,0.52,89.20%,20.00%,5.60%,Oct 31/b,2.77,4.92%
NLY,13.00B,12.11%,2.90%,23.40%,1.60%,-,-,0.56,6.85,70.20%,65.00%,62.10%,Oct 31/a,9.87,-0.40%
AGNC,8.56B,12.11%,1.60%,13.10%,-,-,-,0.04,5.74,60.40%,47.70%,46.00%,Oct 24/a,17.88,0.22%
FSIC,1.50B,12.10%,-,-,-,-,-,-,-,-,-,-,Nov 07/a,6.32,0.72%
AINV,1.07B,12.07%,-,-,-,-,-,-,-,-,-,-,Oct 30/a,5.21,4.83%
FTF,213.61M,12.06%,-,-,-,-,-,-,-,-,-,-,-,9.31,-1.43%
JE,471.63M,12.03%,-,-,-,-,-,-,-,-,-,-,Nov 07/a,3.23,2.22%
CBA,-,12.01%,-,-,-,-,-,-,-,-,-,-,-,6.71,0.75%
MARPS,6.00M,12.00%,-,-,-,-,-,-,-,-,-,-,Nov 13/b,3.06,2.00%
SDLP,299.56M,11.94%,3.00%,14.90%,9.10%,2.10,2.10,2.09,2.31,67.90%,40.70%,17.20%,Nov 20/b,3.36,0.30%
CTR,-,11.93%,-,-,-,-,-,-,-,-,-,-,-,9.82,1.03%
FGB,-,11.93%,-,-,-,-,-,-,-,-,-,-,-,6.03,2.73%
NTG,-,11.91%,-,-,-,-,-,-,-,-,-,-,-,14.37,1.27%
FEN,385.44M,11.91%,-,-,-,-,-,-,-,-,-,-,-,19.58,0.49%
GLV,79.03M,11.88%,-,-,-,-,-,-,-,-,-,-,-,11.28,0.00%
DSE,-,11.79%,-,-,-,-,-,-,-,-,-,-,-,5.18,1.85%
MFD,87.59M,11.70%,-,-,-,-,-,-,-,-,-,-,-,10.08,-1.75%
GLQ,145.54M,11.67%,-,-,-,-,-,-,-,-,-,-,-,13.23,0.27%
SACH,63.62M,11.65%,10.40%,14.10%,7.50%,-,-,0.00,0.40,87.10%,72.90%,73.30%,-,4.10,-0.50%
CCT,1.72B,11.64%,-,-,-,-,-,-,-,-,-,-,Nov 07/a,13.97,1.01%
NRO,220.98M,11.59%,-,-,-,-,-,-,-,-,-,-,-,4.70,0.79%
CHI,690.47M,11.57%,-,-,-,-,-,-,-,-,-,-,-,9.94,0.91%
HRZN,119.57M,11.57%,-,-,-,-,-,-,-,-,-,-,Oct 30/a,11.00,6.08%
TPVG,300.93M,11.57%,-,-,-,-,-,-,-,-,-,-,Oct 31/a,12.70,2.01%
WHF,252.51M,11.55%,-,-,-,-,-,-,-,-,-,-,Nov 06/b,12.53,1.95%
KYN,1.96B,11.54%,-,-,-,-,-,-,-,-,-,-,-,15.97,2.40%
FDUS,330.74M,11.54%,-,-,-,-,-,-,-,-,-,-,Nov 01/a,13.75,1.70%
MFA,2.80B,11.53%,2.80%,9.30%,3.20%,-,-,0.00,1.84,66.30%,53.50%,50.70%,Nov 06/b,6.95,0.22%
