Ticker,Market Cap,Div,ROA,ROE,ROI,Curr R,Quick R,LTDebt/Eq,Debt/Eq,Gross M,Profit M,Earnings,Price,Change,Volume
LMRK,382.23M,10.10%,2.10%,5.20%,4.30%,-,-,1.60,1.60,98.80%,63.00%,27.30%,Nov 08/b,14.08,-3.23%
CDMOP,1.45B,10.10%,-,-,-,-,-,-,-,-,-,-,-,25.75,-0.74%
GMZ,-,10.10%,-,-,-,-,-,-,-,-,-,-,-,8.23,-1.08%
KNOP,689.74M,10.09%,5.10%,14.90%,5.80%,0.50,0.50,1.61,1.73,79.00%,44.90%,35.80%,Nov 02,20.31,-1.50%
TNK,312.98M,10.08%,-3.40%,-7.50%,0.10%,0.70,0.70,0.96,1.13,22.80%,-6.10%,-13.30%,Nov 08/b,1.18,-0.42%
MRT,273.80M,10.07%,3.20%,5.40%,5.60%,-,-,0.75,0.75,96.90%,49.80%,29.00%,Nov 09/a,8.55,2.52%
SZC,-,10.04%,-,-,-,-,-,-,-,-,-,-,-,16.08,-1.59%
NEWM,912.58M,10.03%,2.70%,5.20%,2.40%,1.30,1.20,0.52,0.54,-,4.80%,2.50%,Oct 31/b,14.36,-2.61%
ANDX,9.51B,10.02%,5.30%,15.70%,9.70%,0.90,0.90,1.57,1.57,35.30%,21.80%,11.70%,Nov 07/b,39.77,-3.24%
REM,-,10.01%,-,-,-,-,-,-,-,-,-,-,-,42.64,0.16%
FEDU,204.46M,10.00%,2.30%,3.10%,5.80%,2.90,2.90,0.00,0.00,57.40%,15.20%,6.50%,Oct 24/b,4.29,2.14%
