Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price
PZN,"Pzena Investment Management, Inc",Financial,Asset Management,USA,702.29M,4.85,10.16
WTI,"W&T Offshore, Inc.",Basic Materials,Oil & Gas Drilling & Exploration,USA,948.92M,4.86,7.22
STRM,"Streamline Health Solutions, Inc.",Technology,Healthcare Information Services,USA,18.69M,4.89,0.93
CNX,CNX Resources Corporation,Basic Materials,Independent Oil & Gas,USA,3.39B,4.90,15.92
ADES,"Advanced Emissions Solutions, Inc.",Industrial Goods,Pollution & Treatment Controls,USA,197.90M,4.92,10.01
EOS,Eaton Vance Enhanced Equity Income Fund II,Financial,Closed-End Fund - Equity,USA,746.36M,4.96,15.79
FBM,"Foundation Building Materials, Inc.",Services,Industrial Equipment Wholesale,USA,428.37M,4.96,11.10
CII,"BlackRock Enhanced Capital and Income Fund, Inc.",Financial,Closed-End Fund - Equity,USA,682.12M,4.98,15.56
SINO,"Sino-Global Shipping America, Ltd.",Services,Air Delivery & Freight Services,USA,19.17M,4.98,1.42
DIAX,Nuveen Dow 30 Dynamic Overwrite Fund,Financial,Closed-End Fund - Equity,USA,641.60M,4.99,17.78
